Measured Angle (degrees),Measured Angle (radians),Power [Perpendicular To Original To Beam] (nW),Power [Parallel To Original To Beam] (nW),,sum of power perpendicular and power parallel nW
0,0,319.8,276.8,,596.6
10,0.174532925,482.3,188,,670.3
20,0.34906585,691.3,70.8,,762.1
30,0.523598776,783.6,21.32,,804.92
40,0.698131701,714.5,57.43,,771.93
50,0.872664626,523.4,163.2,,686.6
60,1.047197551,274.3,298.7,,573
70,1.221730476,70,411.6,,481.6
80,1.396263402,30.3,436.7,,467
90,1.570796327,164.52,363.7,,528.22
100,1.745329252,381.4,246.8,,628.2
110,1.919862177,601.9,122.47,,724.37
120,2.094395102,747.7,41.22,,788.92
130,2.268928028,732,50.66,,782.66
140,2.443460953,594.5,137.08,,731.58
150,2.617993878,383.5,240.1,,623.6
160,2.792526803,244.2,319.9,,564.1
170,2.967059728,217.7,335.6,,553.3
180,3.141592654,351.4,264.3,,615.7
190,3.316125579,523.3,172.6,,695.9
200,3.490658504,727,58.05,,785.05
210,3.665191429,813.6,12.5,,826.1
220,3.839724354,724.5,60.01,,784.51
230,4.01425728,510.3,175.58,,685.88
240,4.188790205,260.9,312,,572.9
250,4.36332313,74.29,411.8,,486.09
260,4.537856055,40.63,433.5,,474.13
270,4.71238898,173.29,362.5,,535.79
280,4.886921906,424.9,228.6,,653.5
290,5.061454831,684,92.86,,776.86
300,5.235987756,808.5,28.18,,836.68
310,5.410520681,755.5,58.18,,813.68
320,5.585053606,592,146.45,,738.45
330,5.759586532,337.5,282.2,,619.7
340,5.934119457,193.9,356.6,,550.5
350,6.108652382,200.9,351.7,,552.6
360,6.283185307,368.4,257.4,,625.8
,,,,,
NO HalfWave,,875.1,47.81,,922.91
